timestamp,kind,kernel_kind,load,attempt,vm_id,firecracker_pid,interval_s,event,count,enabled,running
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.402339953,dTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.402339953,iTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.402339953,cache-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.502501354,dTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.502501354,iTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.502501354,cache-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.602647757,dTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.602647757,iTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.602647757,cache-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.702788710,dTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.702788710,iTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.702788710,cache-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.802928059,dTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.802928059,iTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.802928059,cache-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.903070835,dTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.903070835,iTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,1.903070835,cache-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,2.003224210,dTLB-load-misses,,0,100.00
2026-05-13T23:18:20+00:00,minimal,stock,idle,3,vm-2267946-1778714298650,2267951,2.003224210,iTLB-load-misses,,0,100.00
