timestamp,kind,kernel_kind,load,attempt,sweep_var,sweep_value,launch_ms,exit
2026-05-13T22:46:35+00:00,minimal,stock,idle,8,mem_mib,1024,1339,0
2026-05-13T22:46:37+00:00,minimal,stock,idle,9,mem_mib,1024,1339,0
2026-05-13T22:46:38+00:00,minimal,stock,idle,10,mem_mib,1024,1336,0
2026-05-13T22:46:40+00:00,minimal,stock,idle,11,mem_mib,1024,1341,0
2026-05-13T22:46:41+00:00,minimal,stock,idle,12,mem_mib,1024,1337,0
2026-05-13T22:46:42+00:00,minimal,stock,idle,13,mem_mib,1024,1338,0
2026-05-13T22:46:44+00:00,minimal,stock,idle,14,mem_mib,1024,1341,0
2026-05-13T22:46:45+00:00,minimal,stock,idle,15,mem_mib,1024,1337,0
2026-05-13T22:46:47+00:00,minimal,stock,idle,16,mem_mib,1024,1341,0
2026-05-13T22:46:48+00:00,minimal,stock,idle,17,mem_mib,1024,1337,0
2026-05-13T22:46:49+00:00,minimal,stock,idle,18,mem_mib,1024,1339,0
2026-05-13T22:46:51+00:00,minimal,stock,idle,19,mem_mib,1024,1338,0
2026-05-13T22:46:52+00:00,minimal,stock,idle,20,mem_mib,1024,1339,0
2026-05-13T22:46:54+00:00,minimal,stock,idle,21,mem_mib,1024,1339,0
2026-05-13T22:46:55+00:00,minimal,stock,idle,22,mem_mib,1024,1343,0
2026-05-13T22:46:56+00:00,minimal,stock,idle,23,mem_mib,1024,1341,0
2026-05-13T22:46:58+00:00,minimal,stock,idle,24,mem_mib,1024,1338,0
2026-05-13T22:46:59+00:00,minimal,stock,idle,25,mem_mib,1024,1338,0
2026-05-13T22:47:00+00:00,minimal,stock,idle,26,mem_mib,1024,1339,0
2026-05-13T22:47:02+00:00,minimal,stock,idle,27,mem_mib,1024,1340,0
2026-05-13T22:47:03+00:00,minimal,stock,idle,28,mem_mib,1024,1340,0
2026-05-13T22:47:05+00:00,minimal,stock,idle,29,mem_mib,1024,1342,0
2026-05-13T22:47:06+00:00,minimal,stock,idle,30,mem_mib,1024,1339,0
2026-05-13T22:47:07+00:00,minimal,stock,idle,31,mem_mib,1024,1339,0
2026-05-13T22:47:09+00:00,minimal,stock,idle,32,mem_mib,1024,1338,0
