timestamp,egress,kind,kernel_kind,load,attempt,concurrency,vm_index,launch_ms,exit
2026-05-13T18:17:32+00:00,none,minimal,stripped,idle,4,4,3,1516,0
2026-05-13T18:17:34+00:00,none,minimal,stripped,idle,5,4,0,1415,0
2026-05-13T18:17:34+00:00,none,minimal,stripped,idle,5,4,1,1517,0
2026-05-13T18:17:34+00:00,none,minimal,stripped,idle,5,4,2,1515,0
2026-05-13T18:17:34+00:00,none,minimal,stripped,idle,5,4,3,1516,0
2026-05-13T18:17:36+00:00,none,minimal,stripped,idle,6,4,0,1516,0
2026-05-13T18:17:36+00:00,none,minimal,stripped,idle,6,4,1,1515,0
2026-05-13T18:17:36+00:00,none,minimal,stripped,idle,6,4,2,1517,0
2026-05-13T18:17:36+00:00,none,minimal,stripped,idle,6,4,3,1515,0
2026-05-13T18:17:37+00:00,none,minimal,stripped,idle,7,4,0,1518,0
2026-05-13T18:17:37+00:00,none,minimal,stripped,idle,7,4,1,1517,0
2026-05-13T18:17:37+00:00,none,minimal,stripped,idle,7,4,2,1516,0
2026-05-13T18:17:37+00:00,none,minimal,stripped,idle,7,4,3,1516,0
2026-05-13T18:17:39+00:00,none,minimal,stripped,idle,8,4,0,1517,0
2026-05-13T18:17:39+00:00,none,minimal,stripped,idle,8,4,1,1517,0
2026-05-13T18:17:39+00:00,none,minimal,stripped,idle,8,4,2,1517,0
2026-05-13T18:17:39+00:00,none,minimal,stripped,idle,8,4,3,1517,0
2026-05-13T18:17:41+00:00,none,minimal,stripped,idle,9,4,0,1517,0
2026-05-13T18:17:41+00:00,none,minimal,stripped,idle,9,4,1,1515,0
2026-05-13T18:17:41+00:00,none,minimal,stripped,idle,9,4,2,1515,0
2026-05-13T18:17:41+00:00,none,minimal,stripped,idle,9,4,3,1516,0
2026-05-13T18:17:43+00:00,none,minimal,stripped,idle,10,4,0,1519,0
2026-05-13T18:17:43+00:00,none,minimal,stripped,idle,10,4,1,1517,0
2026-05-13T18:17:43+00:00,none,minimal,stripped,idle,10,4,2,1516,0
2026-05-13T18:17:43+00:00,none,minimal,stripped,idle,10,4,3,1515,0
2026-05-13T18:17:45+00:00,none,minimal,stripped,idle,11,4,0,1518,0
2026-05-13T18:17:45+00:00,none,minimal,stripped,idle,11,4,1,1517,0
2026-05-13T18:17:45+00:00,none,minimal,stripped,idle,11,4,2,1515,0
2026-05-13T18:17:45+00:00,none,minimal,stripped,idle,11,4,3,1516,0
2026-05-13T18:17:46+00:00,none,minimal,stripped,idle,12,4,0,1516,0
2026-05-13T18:17:46+00:00,none,minimal,stripped,idle,12,4,1,1516,0
2026-05-13T18:17:46+00:00,none,minimal,stripped,idle,12,4,2,1516,0
2026-05-13T18:17:46+00:00,none,minimal,stripped,idle,12,4,3,1515,0
2026-05-13T18:17:48+00:00,none,minimal,stripped,idle,13,4,0,1516,0
